100s
100 Kila
Cappadonna
Clyde Carson
Casey Veggies
Cash Out
Cashis
Caskey
Cassidy
CeeLo Green
Cellski
Celly Cel
Celph Titled
John Cena
Cesar Comanche
Ceza
Chamillionaire
Chance the Rapper
Chanel West Coast
Channel 7
Charizma
Charli Baltimore
Chi Ali
Chiddy Bang
Chief Keef
Childish Gambino
Tha Chill
Chill Rob G
Chingy
Chino XL
Chinx
Chip
Choice
Choppa
Chubb Rock
Tha City Paper
CJ Fly
CL Smooth
Classified
Cold 187um
Sean Combs
Common
Consequence
Cool Breeze
Cool C
Coolio
Copywrite
Cormega
Cory Gunz
Count Bass D
Bobby Creekwater
Crime Boss
Criminal Manne
Crooked I
Crucial Star
Currensy
Denzel Curry
Curtiss King
Cyhi the Prynce
D-Nice
The D.O.C.
D-Pryde
Da Brat
Daddy-O
David Dallas
Damu the Fudgemunk
Dana Dane
Dan Bull
D'Angelo
Danny Boy
Dappy
Da$h
Da'unda'dogg
Dave East
Daveed Diggs
David Banner
David Rush
David Stones
Daz Dillinger
Dazzie Dee
D'banj
Mike Dean
Dee Barnes
Def Jef
Dej Loaf
Del the Funky Homosapien
Denzel Curry
Demrick
Derek Minor
Desiigner
Detail
Deuce
Dev
Devin the Dude
Devlin
Diabolic
Diamond
Diamond D
Diggy Simmons
Dillon Cooper
Disco D
Disco King Mario
Dizzee Rascal
Dizzy Wright
DJ Cash Money
DJ Casper
DJ Clay
DJ Clue?
DJ Drama
DJ Felli Fel
DJ Flash
DJ Fuze
DJ Green Lantern
DJ Head
DJ Hurricane
DJ Kay Slay
DJ Khaled
DJ Krush
DJ Mustard
DJ Paul
DJ Pooh
DJ Premier
DJ Quik
DJ Screw
DJ Shadow
DJ Yella
DMX
Doap Nixon
Doe B
Dok2
Dolla
Dom Kennedy
Dominique Young Unique
Domino
Domo Genesis
Donnis
Dorrough
Doseone
Doug E. Fresh
Doughbeezy
Drag-On
Dr. Dre
Drake
Dres
Dresta
Drew Deezy
Driicky Graham
Droop-E
Dru Down
Drumma Boy
Dumbfoundead
Duncan Mighty
Jermaine Dupri
E-40
E.D.I. Mean
E.S.G.
Earl Sweatshirt
Easy Mo Bee
Eazy-E
Ed O.G.
Edo Maajka
El Da Sensei
El-P
Elephant Man
Missy Elliott
Elzhi
Eminem
Esham
Eve
Evidence
Eyedea
Fabolous
Fabri Fibra
Fam-Lay
Deniro Farrar
Fashawn
Fat Joe
Fat Pat
Fat Trel
Fatboi
Father MC
Fatman Scoop
Fergie
Fetty Wap
Fiend
FLAME
Flavor Flav
Flavour N'abania
Flo Rida
Flying Lotus
Focus...
Fonzworth Bentley
Fort Minor
Gilbere Forte
Foxx
Tiffany Foxx
Foxy Brown
Frank Ocean
Frankie J
Frayser Boy
Freak Nasty
Freaky Tah
Freddie Foxxx
Freddie Gibbs
Fredo Santana
Fredro Starr
Fredwreck
Free
Freekey Zekey
Freeway
French Montana
Frenkie
Fresh Kid Ice
Froggy Fresh
Frost
Full Blooded
Funkmaster Flex
Future
G. Dep
G-Eazy
G-Dragon
The Game
Gary
Gangsta Blac
Gangsta Boo
Gaeko
Ganksta N-I-P
General Woo
Gene Clash
Ghostface Killah
Giggs
Glasses Malone
GLC
Goldie Loc
Gorilla Zoe
Grafh
Grand Puba
Grandmaster Flash
Greydon Square
Grieves
Gucci Mane
Gudda Gudda
Guerilla Black
Guilty Simpson
Gunplay
Guru
Gza
Half a Mill
Charles Hamilton
Hard Kaur
Havoc
Heavy D
Hi-C
Hi-Tek
Lauryn Hill
Jackie Hill-Perry
Hit-Boy
Hittman
Hodgy Beats
Honey Cocaine
Hoodie Allen
Hopsin
Hot Dollar
Huey
Hurricane Chris
Hurricane G
Hush
Hussein Fatal
I-20
Iamsu!
Ice Cube
Ice-T
Iggy Azalea
IHeartMemphis
Ill Bill
Illmind
ILoveMakonnen
Immortal Technique
Imran Khan
Indo G
Inspectah Deck
Isaiah Rashad
Iyanya
Iyaz
J. Cole
J-Diggs
J Dilla
J.Gray
J. Jewels
J-Kwon
J.R. Rotem
J.R. Writer
J-Son
J. Stalin
J. Valentine
Ja Rule
Jack Parow
The Jacka
Jadakiss
Jeremiah Jae
Jae Millz
Jahlil Beats
Jake One
Jam Master Jay
Jamal
Jamie Foxx
Jay Burna
Jay Electronica
Jay Park
Jay Rock
Jay-Z
Jayo Felony
Jaz-O
Jazze Pha
Wyclef Jean
Jean Grae
Mick Jenkins
Jeremih
Jeru the Damaja
Jewell
Jibbs
Jim Jonsin
Jme
Joey Badass
"Johnny ""J"""
Jon Connor
Jim Jones
Mike Jones
Serius Jones
JT the Bigga Figga
JT Money
Juelz Santana
Juice (Đus)
Juicy J
Junhyung
Jus Allah
Just Ice
Juvenile
K Camp
K-Dee
K.E. on the Track
K-OS
K-Rab
K-Solo
K7
Kafani
Kam
Kangol Kid
Kap G
Kardinal Offishall
Kastro
Kat Dahlia
KB
Keak da Sneak
Kerser
Kevin Gates
Khia
Khleo
Kia Shine
Kid Capri
Kid Cudi
Kid Frost
Kid Ink
Kid Rock
Kid Sister
Kidd Kidd
Killah Priest
Killer Mike
Kilo Ali
King Chip
King Gordy
King L
King Tee
Kirko Bangz
Kitty
KJ-52
K'naan
Knero
Knoc-turn'al
KO
Kodak Black
Kokane
Kool A.D
Kool G Rap
Kool Keith
Kool Moe Dee
Koolade
Krayzie Bone
Kreayshawn
Krizz Kaliko
KRS-One
Kurious
Kurtis Blow
Kurupt
Kung Fu Vampire
Kwamé
Talib Kweli
L.T. Hutton
La Chat
La the Darkman
The Lady of Rage
Lady Luck
Lakey The Kid
Lakutis
Large Professor
Laroo T.H.H.
Kendrick Lamar
Lazarus
LE
Lecrae
Tracey Lee
Left Brain
Lex Luger
Lil' ½ Dead
Lil B
Lil Bibby
Lil' Cease
Lil Debbie
Lil Dicky
Lil Durk
Lil Eazy E
Lil' Fizz
Lil' Flip
Lil Herb
Lil Jon
Lil' Keke
Lil' Kim
Lil Mama
Lil' O
Lil Phat
Lil Reese
Lil Ric
Lil' Ronnie
Lil Ru
Lil Scrappy
Lil' Troy
Lil Twist
Lil Uzi Vert
Lil Wayne
Lil' Wil
Lil Wyte
Lil Yachty
Lil Zane
Lin Que
LL Cool J
Lloyd Banks
Logic
Theophilus London
Loon
Lisa Lopes
Lord Finesse
Lord Have Mercy
Lord Infamous
Lord Jamar
Los
Louis Logic
Lovebug Starski
LoveRance
Lowkey
LRoc
Ludacris
Luni Coleone
Lupe Fiasco
M-1
M.I.A.
M Trill
Mac
Mac Dre
Mac Lethal
Mac Mall
Mac Miller
Mac Minister
Machine Gun Kelly
Mack 10
Craig Mack
Mack Maine
Macklemore
Mad Lion
Madchild
Madlib
Maejor Ali
Magic
Magnolia Shorty
Maino
Mann
Mannie Fresh
Marčelo
Marcus Orelias
Marley Marl
Christopher Martin
Terrace Martin
Angie Martinez
Marvaless
Marz
Mase
Masspike Miles
Masta Ace
Masta Killa
Master P
Master Shortie
Matt Toka
Max B
MC Breed
MckeezyK
MC Eiht
MC Frontalot
MC Hammer
MC Jin
MC Lyte
MC Mong
MC Ren
MC Serch
MC Shan
MC Solaar
MC Trouble
MC Tunes
Kevin McCall
Meek Mill
Mellow Man Ace
Memphis Bleek
Vic Mensa
Messy Marv
Method Man
Metro Boomin
MF Doom
MF Grimm
Mia X
Mickey Factz
Mic Geronimo
Mike G
Mike Stud
Mike Will Made It
Mike Zombie
Jake Miller
Milo
Mims
Nicki Minaj
Andy Mineo
Mino
Mista Grimm
Mistah F.A.B.
Mister Cee
Mitchy Slick
Mo B. Dick
Money-B
Monie Love
LoLa Monroe
Mopreme Shakur
Mos Def
Mr. Capone-E
Mr. Cheeks
Mr. Collipark
Mr. Criminal
Mr. Lif
Mr. Muthafuckin' eXquire
Mr. Porter
Mr. Serv-On
Mr. Short Khop
Ms. Jade
Murphy Lee
Keith Murray
Murs
Miryo
Mystikal
Myzery
N.O. Joe
N.O.R.E.
Napoleon
Nas
Nawawe
Nate Dogg
Nature
Necro
Needlz
Nelly
NF
Andre Nickatina
Nikki D
Nipsey Hussle
Nitty
No Malice
Noname
"Noah ""40"" Shebib"
Nonchalant
The Notorious B.I.G.
Nottz
Nujabes
Nump
Numskull
Nyzzy Nyce
Casper Nyovest
Oddisee
Osman saif eddin
OG Maco
Oh No
OJ da Juiceman
Ol' Dirty Bastard
Olivia
Omarion
Omega Red
Omillio Sparks
Shaquille O'Neal
Oneya
Open Mike Eagle
Joell Ortiz
Olamide
P. Reign
P.C.T
Petey Pablo
Papa Reu
Papoose
Paris
Pastor Troy
Paul Wall
Peedi Peedi
Peewee Longway
Percee P
Brianna Perry
Pharoahe Monch
Phat Kat
Phife Dawg
Philthy Rich
Phyno
Pill
Pimp C
Pitbull
Planet Asia
Planetary
Plies
PNC
Positive K
Post Malone
Mike Posner
Pras
Prince Ital Joe
Prince Paul
Prince Po
Problem
Prodigy
Professor Green
Project Pat
Proof
Prozak
Psy
Pusha T
Q-Tip
Quan
Quazedelic
Queen Latifah
Queen Pen
Quincy Jones III
Qwazaar
Qwel
R.A. the Rugged Man
Raekwon
Rap Monster
Ronnie Radke
Rah Digga
Rahzel
Rakim
Ramriddlz
Rampage
Rappin' 4-Tay
Rapsody
Ras Kass
Rasheeda
Ray Cash
Ray J
Ray Luv
Raz Fresco
RBX
The Real Roxanne
Really Doe
Red Café
Red Spyda
Redfoo
Redman
Reef the Lost Cauze
Reema Major
Christopher Reid
Reks
Remy Ma
Luis Resto
Rhymefest
Rich Boy
Rich Homie Quan
Rich The Kid
Richie Rich
Rick Rock
Rick Ross
Rico Love
Riff Raff
Rittz
RJD2
Rob Sonic
Roc Marciano
Rockie Fresh
Rocko
Romeo Miller
Roots Manuva
Roscoe
Roscoe Dash
Asher Roth
Rowdy Rebel
"Royce da 5'9"""
Rucka Rucka Ali
Rydah J. Klyde
Rye Rye
Rza
Saafir
Sabac Red
Sacario
Sadat X
Sadistik
Sage Francis
Sage the Gemini
Saigon
Hasan Salaam
Adam Saleh
San E
San Quinn
Sarkodie
Sauce Money
Savage
Scarface
Schoolboy Q
Schoolly D
"Nitty Scott, MC"
Scotty
Scram Jones
Scribe
Scrilla
Scrufizzer
SD
Sean Price
Sean T
Erick Sermon
Sev Statik
Sha Money XL
Shabazz the Disciple
Lakim Shabazz
Shad
Shade Sheist
Shady Nate
Shaggy 2 Dope
Tupac Shakur
Roxanne Shanté
Shawnna
Shawty Lo
Sheek Louch
Shing02
Mike Shinoda
Sho Baraka
Shock G
Shorty
Shorty Mack
Shwayze
Shy Glizzy
Shyheim
Shyne
Beanie Sigel
Silentó
Silkk the Shocker
Simon D
Verse Simmonds
Sir Jinx
Sir Mix-a-Lot
Škabo
Skee-Lo
Skeme
Skinnyman
Skizzy Mars
Skyzoo
SL Jones
Sleepy Brown
Slick Pulla
Slick Rick
Slim Burna
Slim Thug
Slug
Will Smith
Willow Smith
Smitty
Smoke DZA
Smooth
Smoothe da Hustler
Sam Sneed
Snoop Dogg
Snootie Wild
Snow Tha Product
"Soce, the elemental wizard"
Sole
Solzilla
Sonny Digital
Sonsee
Soopafly
Soulja Boy
Soulja Slim
South Park Mexican
Southside
SpaceGhostPurrp
Clinton Sparks
Special Ed
Spice 1
Spider Loc
Spoonie Gee
Spose
Spot
Stalley
Eric Stanley
Vince Staples
Starlito
Stat Quo
Static Major
Statik Selektah
Steady B
Stevie Joe
Stezo
Sticky Fingaz
Stoka
Stevie Stone
Scott Storch
Stoupe the Enemy of Mankind
Street Radio
StreetRunner
Stretch
Styles P
Substantial
Suga Free
Swagg Man
Sweet Tee
Swizz Beatz
SwizZz
Syd Tha Kyd
SZA
T-Bone
T.I.
T.O.P
T La Rock
T. Mills
T-Nutty
T-Pain
T-Wayne
Target
Tay Dizm
Tablo
Teyana Taylor
TD Cruze
Teairra Marí
Tech N9ne
Tedashii
TeeFlii
Tekitha
Tela
The Coup
The Quiett
Termanology
Timaya
Timbaland
Timbe
Tinie Tempah
Tone Lōc
Tone Trump
Tonedeff
Tony Yayo
Too Short
Torch (American)
Torch (German)
Tory Lanez
Tha Trademarc
Trae tha Truth
Tragedy Khadafi
Travis Scott
Traxamillion
Tray Deee
Tre-8
Treach
Trey Songz
Obie Trice
Trick Daddy
Trick-Trick
Trina
Trinidad James
Trip Lee
Roger Troutman
Troy Ave
Turf Talk
Turk
Tweedy Bird Loc
Twista
Twisted Insane
Ty Dolla Sign
Tyga
Tyler Joseph
"Tyler, The Creator"
U-God
Uncle Murda
Unk
V-Nasty
Vado
Vakill
Valete
Vanilla Ice
Vast Aire
Verbal Jint
V.I.C.
Vic Mensa
Vinnie Paz
Violent J
VL Mike
Waka Flocka Flame
Wale
Warren G
Watsky
Wax (rapper)
WC
Webbie
Chris Webby
Kanye West
Wikluh Sky
Tristan Wilds
will.i.am
Pharrell Williams
Willie D
Willie the Kid
Willy Northpole
Witchdoctor
Wiz Khalifa
Wizkid
Chevy Woods
Jamal Woolard
Nicole Wray
Wrekonize
X-Raided
XV
Xzibit
Ya Boy
Yaki Kadafi
Yazz The Greatest
YC
Yelawolf
YG
Yo Gotti
Yo Yo Honey Singh
Young Bleed
Young Buck
Young Chop
Young Chris
Young Dre the Truth
Young Dro
Young Jeezy
Young Maylay
Young MC
Young Noble
Young Scooter
Young Thug
Val Young
Your Old Droog
Yoon Mi-rae
Yubin
Yukmouth
Yung Berg
Yung Joc
Yung L.A.
Yung Lean
Yung Wun
Yung6ix
YZ
Zaytoven
Zebra Katz
Z-Ro
Zico
